category,product_type,japanese,english,publisher,year,product_code
adventure-hero-books,gamebook,装甲騎兵ボトムズ復讐の惑星シド,Armored Trooper Votoms: Revenge Planet Sid,Keibunsha,1987,
adventure-hero-books,gamebook,クレオパトラの魔宝 古代王朝の王冠,Cleopatra's Treasure: Ancient Dynasty Crown,Keibunsha,1987,
adventure-hero-books,gamebook,エアウルフ東京極秘指令,Airwolf: Tokyo Top Secret Order,Keibunsha,1987,
adventure-hero-books,gamebook,未来神話ジャーヴァス闇の反逆者,Future Myth Jarvas: Rebel of Darkness,Keibunsha,1987,
adventure-hero-books,gamebook,ナイトライダー無人兵器ゴリアテの挑戦,Knight Rider: Unmanned Weapon Goliath's Challenge,Keibunsha,1987,
adventure-hero-books,gamebook,サラマンダ ラティス救出作戦,Salamanda: Lattice Rescue Operation,Keibunsha,1987,
adventure-hero-books,gamebook,ウルティマ ブリタニア王国の危機,Ultima Crisis in Britannia,Keibunsha,1987,
adventure-hero-books,gamebook,聖剣サイコカリバー外伝,Holy Sword Psycho Caliber Side Story,Keibunsha,1987,
adventure-hero-books,gamebook,ミネルバトンサーガ暗黒神ゾーンの復讐,Minervaton Saga Dark God Zone Revenge,Keibunsha,1987,
adventure-hero-books,gamebook,カリーンの剣 外伝―魔道士伝説,Karen's Sword Side Story: Legend of the Mage,Keibunsha,1987,
adventure-hero-books,gamebook,耐熱装甲レガシアムG計画撃滅作戦,Heat-Resistant Armor Legassium G Plan Destruction Strategy,Keibunsha,1987,
adventure-hero-books,gamebook,ガルフォース,Gall Force 2: Beat Chaos Secret Base,Keibunsha,1987,
adventure-hero-books,gamebook,怪人ラプリンスの挑戦 悪霊の館,Monster le Prince's Challenge: Demon House,Keibunsha,1987,
adventure-hero-books,gamebook,仮面ライダーBLACK魔軍のバトル,Kamen Rider Black Demon Battle,Keibunsha,1988,
adventure-hero-books,gamebook,ファイナルファンタジー クリスタル継承伝説,Final Fantasy Crystal Succession Legend,Keibunsha,1988,
adventure-hero-books,gamebook,怪人ラプリンスの挑戦2獄門島の決闘,Monster le Prince's Challenge 2: Duel of Gokumon Island,Keibunsha,1988,
adventure-hero-books,gamebook,聖戦士ダンバイン妖魔城塞ザーウェル,Holy Warrior Dunbine Youma Citadel,Keibunsha,1988,
adventure-hero-books,gamebook,機動戦士ガンダム シャアの帰還,Mobile Suit Gundam: Char's Return,Keibunsha,1988,
adventure-hero-books,gamebook,探偵神宮寺三郎 原宿・表参道殺人事件,Detective Saburo Jinguji Harajuku / Omotesando Murder Case,Keibunsha,1988,
adventure-hero-books,gamebook,邪聖剣ネクロマンサー イシュメリア魔空戦記,Evil Holy Sword Necromancer Ishmería,Keibunsha,1988,
adventure-hero-books,gamebook,アシュギーネ 爬人の邪都,Ashgine: Reptile's Evil City,Keibunsha,1988,
adventure-hero-books,gamebook,ディープダンジョン3魔界都市からの脱出,Escape from Deep Dungeon 3: Makai City,Keibunsha,1988,
after-school-mystery,rulebook,放課後奇譚,After School Mystery,Aspect,1994,
arabesque-fortuna-ventus,box set,アラベスク 運命の風,Arabesque Fortuna Ventus,Hobby Data,1994,
asura,box set,阿修羅fantasy,ASURA Fantasy,Cosmo Engineering,1992,
asura,box set,ディテクティヴ・ストーリー,Detective Story,Cosmo Engineering,,
asura,box set,ASURAシステム 阿修羅fantasy サプリメント2 “Do Evils”,"ASURA Fantasy Supplement 2 ""Do Evils""",Cosmo Engineering,,
asura,box set,ASURAシステム 退魔戦記 サプリメント4 オネスティー,ASURA System Exorcism Supplement 4 Honesty,Cosmo Engineering,,
asura,box set,ASURA Fantasy 十字軍遠征 Expert Set,ASURA Fantasy Crusade Expedition Expert Set,Cosmo Engineering,1994,
asura,box set,ASURAイージーシステム 場内大乱闘！FATMAN  基本セット,ASURA Easy System Battle in the Hall! Fatman Basic Set,Cosmo Engineering,,
asura,box set,Asuraシステム 銀河開拓史 ギャラクティックアーク,ASURA Fantasy Galactic Ark,Cosmo Engineering,,
asura,supplement,ASURAシステム 銀河開拓史ギャラクティックアーク マスタースクリーン,ASURA Fantasy Galactic Ark Master Screen,Cosmo Engineering,,
asura,box set,AsuraシステムV4 サイコマスターズAD2065,ASURA SystemV4 Psycho Masters AD 2065,Cosmo Engineering,,
asura,supplement,サイコマスターズ・マスタースクリーン,Pyscho Masters Master Screen,Cosmo Engineering,,
asura,supplement,阿修羅fantasyマスタースクリーン,ASURA Fantasy Master Screen,Cosmo Engineering,1993,
asura,box set,退魔戦記 伝奇ホラーRPG,Exorcism Mystery Horror RPG,Cosmo Engineering,,
asura,supplement,退魔戦記 伝奇ホラーRPGマスタースクリーン,Exorcism Mystery Horror RPG Master Screen,Cosmo Engineering,,
asura,box set,エキスパートセット 十二魔将 伝奇ホラーRPG,Expert Set Twelve Devil General Mystery Horror RPG,Cosmo Engineering,,
bancho-gakuen,rulebook,番長学園!!,Bancho Gakuen!!,Hobby Japan,1997,
bancho-gakuen,supplement,番長学園!! キャラクタファイル,Bancho Gakuen!! Character File,Hobby Japan,1998,
bancho-gakuen,rulebook,番長学園!!大吟醸 ,Banhco Gakuen!! Daiginjo,Booking,2006,
bancho-gakuen,supplement,新訳・番長ファイト!,New Translation: Bancho Fight!,Booking,2007,
beast-warrior-luna-valger,rulebook,魔獣戦士ルナ・ヴァルガーRPG特集Book Vol. 1,Beast Warrior Luna Valger RPG Special Edition Book Vol. 1,Kadokawa Shoten,1993,
beast-warrior-luna-valger,replay,魔獣戦士ルナ・ヴァルガーRPGリプレイ呆然,Beast Warrior Luna Valger RPG Replay Dumbfounded,Kadokawa Shoten,1991,
beast-warrior-luna-valger,replay,魔獣戦士ルナ・ヴァルガーRPGリプレイ愕然,Beast Warrior Luna Valger RPG Replay Astonished,Kadokawa Shoten,1992,
beast-warrior-luna-valger,replay,魔獣戦士ルナ・ヴァルガーRPGリプレイ騒然,Beast Warrior Luna Valger RPG Replay Confused,Kadokawa Shoten,1993,
belfahrs-magic-school,rulebook,ベルファール魔法学園,Belfahr's Magic School,Kadokawa Shoten,1994,
blade-and-word,box set,ブレード・アンド・ワード,Blade & Word,Kirameki,1991,
blade-and-word,rulebook,アコースティック・リーフ,Acoustic Leaf,Kirameki,1995,
blood-sword,gamebook,ブラッド・ソード〈シナリオ1〉勝利の紋章を奪え!,The Battlepits of Krath,Fujimi Shobo,1988,2-1
blood-sword,gamebook,ブラッド・ソード〈シナリオ2〉魔術王をたおせ!,The Kingdom of Wyrd,Fujimi Shobo,1988,2-2
blood-sword,gamebook,ブラッド・ソード〈シナリオ3〉悪魔の爪を折れ!,The Demon's Claw,Fujimi Shobo,1989,2-3
blood-sword,gamebook,ブラッド・ソード〈シナリオ4〉死者の国から還れ!,Doomwalk,Fujimi Shobo,1989,2-4
blue-forest-story,box set,ブルーフォレスト物語,Blue Forest Story,Tsukuda Hobby,1990,HG-085R
blue-forest-story,box set,ブルーフォレスト戦乱,Blue Forest Wars,Tsukuda Hobby,1991,HG-088R
blue-forest-story,box set,ブルーフォレス伝承,Blue Forest Tales,Tsukuda Hobby,1992,HG-095R
blue-forest-story,box set,ブルーフォレスト物語 THE DESIGNER'S EDITION,Blue Forest Story: The Designer's Edition,Game Field,1996,
blue-forest-story,box set,ブルーフォレスト戦乱 THE DESIGNER'S EDITION,Blue Forest Wars: The Designer's Edition,Game Field,1997,
blue-forest-story,box set,ブルーフォレスト風雲録,Blue Forest Tactics,Game Field,1998,
call-of-cthulhu,box set,ウェンディゴへの挑戦,Alone Against the Wendigo,Hobby Japan,,No. 128-1
call-of-cthulhu,box set,アーカムのすべて,Arkham Unveiled,Hobby Japan,,No. 128-10
call-of-cthulhu,box set,クトゥルフの呼び声,Call of Cthulhu,Hobby Japan,1986,No. 128
call-of-cthulhu,rulebook,クトゥルフの呼び声,Call of Cthulhu,Hobby Japan,,
call-of-cthulhu,box set,ガス灯に浮かぶクトゥルフ,Cthulhu by Gaslight,Hobby Japan,,No. 128-6
call-of-cthulhu,box set,クトゥルフ・コンパニオン,Cthulhu Companion,Hobby Japan,,No. 128-5
call-of-cthulhu,supplement,クトゥルフ・ハンドブック,Cthulhu Handbook,Hobby Japan,,
call-of-cthulhu,supplement,クトゥルフ モンスターガイド,Cthulhu Monsters,Hobby Japan,,
call-of-cthulhu,supplement,クトゥルフ モンスターガイドⅡ,Cthulhu Monsters II,Hobby Japan,,
call-of-cthulhu,box set,クトゥルフ・ナウ,Cthulhu Now,Hobby Japan,,No. 128-9
call-of-cthulhu,supplement,クトゥルフ・ワールド・ツアー,Cthulhu World Tour,Hobby Japan,1990,
call-of-cthulhu,box set,ユゴスからの侵略,The Fungi from Yuggoth,Hobby Japan,,No. 128-4
call-of-cthulhu,box set,ニャルラトテップの仮面,Masks of Nyarlathotep,Hobby Japan,,No. 128-8
call-of-cthulhu,box set,ヨグ＝ソトースの影,Shadows of Yog-sothoth,Hobby Japan,,No. 128-2
call-of-cthulhu,box set,療養所の悪魔,The Asylum & other tales,Hobby Japan,,No. 128-3
call-of-cthulhu,box set,黄昏の天使 夜叉姫伝説：第一部,The Twilight Angel: The Stories of the Demon Princess: First Part,Hobby Japan,,No. 128-7
clamp-school,rulebook,CLAMP学園公式ガイドブック,CLAMP School Official Guidebook,Kadokawa Shoten,1997,
comp-rpg,periodical,Vol. 1,,Kadokawa Shoten,1991,
comp-rpg,periodical,Vol. 2,,Kadokawa Shoten,1992,
comp-rpg,periodical,Vol. 3,,Kadokawa Shoten,1992,
comp-rpg,periodical,Vol. 4,,Kadokawa Shoten,1992,
comp-rpg,periodical,Vol. 5,,Kadokawa Shoten,1992,
comp-rpg,periodical,Vol. 6,,Kadokawa Shoten,1993,
comp-rpg,periodical,Vol. 7,,Kadokawa Shoten,1993,
comp-rpg,periodical,Vol. 8,,Kadokawa Shoten,1993,
comp-rpg,periodical,Vol. 9,,Kadokawa Shoten,1993,
comp-rpg,periodical,Vol. 10,,Kadokawa Shoten,1994,
comp-rpg,periodical,Vol. 11,,Kadokawa Shoten,1994,
comp-rpg,periodical,1994/8,,Kadokawa Shoten,1994,
